Emotion,Sentence,Sentence_cleaned
Other,cho mình xin bài nhạc tên là gì với ạ,cho mình xin bài nhạc tên là gì với ạ
Disgust,cho đáng đời con quỷ . về nhà lôi con nhà mày ra mà đánh 😡,cho đáng đời con quỷ về nhà lôi con nhà mày ra mà đánh 😡
Disgust,lo học đi . yêu đương lol gì hay lại thích học sinh học,lo học đi yêu đương lol gì hay lại thích học sinh học
Enjoyment,uớc gì sau này về già vẫn có thể như cụ này :)),uớc gì sau này về già vẫn có thể như cụ này
Enjoyment,mỗi lần có video của con là cứ coi đi coi lại hoài . cưng con quá .,mỗi lần có video của con là cứ coi đi coi lại hoài cưng con quá
Anger,thằng kia sao mày bắt vợ với bồ tao dọn thế kia . nhà mày ở đâu tao đến thịt mày chết,thằng kia sao mày bắt vợ với bồ tao dọn thế kia nhà mày ở đâu tao đến thịt mày chết
Other,một lí do trog muôn vàn lí do,một lí do trog muôn vàn lí do
Surprise,thật hay đùa ác vậy . không thể tin được,thật hay đùa ác vậy không thể tin được
Anger,"ko phải con mình , mà xem còn thấy đau như vậy huống gì người trong cuộc . thật là phẫn nộ mà . cơ quan chức năng làm việc quá chậm trễ , đến giờ mà vẫn chưa tìm ra người chịu trách nhiệm . 😠😠😠😠😠😠",không phải con mình mà xem còn thấy đau như vậy huống gì người trong cuộc thật là phẫn nộ mà cơ quan chức năng làm việc quá chậm trễ đến giờ mà vẫn chưa tìm ra người chịu trách nhiệm 😠
Sadness,per nghe đi rồi khóc 1 trận cho thoải mái . đừng cố gồng mình lên nữa,per nghe đi rồi khóc 1 trận cho thoải mái đừng cố gồng mình lên nữa
Enjoyment,công nhận sáng tạo thật đấy,công nhận sáng tạo thật đấy
Disgust,đòn tấn công cực gắt và cục sút của anh 😂😂😂,đòn tấn công cực gắt và cục sút của anh 😂
Other,trời nắng nóng thế này mình muốn bán nước không biết thu nhập có cao không ạ :3,trời nắng nóng thế này mình muốn bán nước không bt thu nhập có cao không ạ 3
Enjoyment,minh biết nữa ne,minh bt nữa ne
Disgust,mấy thằng củ lol việt nam nhảm nhí :)),mấy thằng củ lol việt nam nhảm nhí
Sadness,"tui thi ́ ch va ̉ i lă ́ mày ma ̀ ăn nhỉ ̀ u no ́ người lă ́ mày mọi người anh ̣ , bi ̣ lơ ̉ miê ̣ người",tui thi ́ ch va ̉ i lă ́ mày ma ̀ ăn nhỉ ̀ u no ́ người lă ́ mày mọi người anh ̣ bi ̣ lơ ̉ miê ̣ người
